;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_cores_CHI_desc;Мы владеем провинциями, на которые  China имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DAI_title;Вернуть провинции Dai Viet;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DAI_desc;Мы владеем провинциями, на которые  Dai Viet имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_JAV_title;Вернуть провинции Java;;;;;;;;;;;;;;;;;;;;x,,
return_cores_JAV_desc;Мы владеем провинциями, на которые  Java имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KOR_title;Вернуть провинции Korea;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KOR_desc;Мы владеем провинциями, на которые  Korea имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LUA_title;Вернуть провинции Luang Prabang;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LUA_desc;Мы владеем провинциями, на которые  Luang Prabang имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_JOH_title;Вернуть провинции Johore;;;;;;;;;;;;;;;;;;;;x,,
return_cores_JOH_desc;Мы владеем провинциями, на которые  Johore имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SIA_title;Вернуть провинции Siam;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SIA_desc;Мы владеем провинциями, на которые  Siam имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TIB_title;Вернуть провинции Tibet;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TIB_desc;Мы владеем провинциями, на которые  Tibet имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MGL_title;Вернуть провинции Mongolia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MGL_desc;Мы владеем провинциями, на которые  Mongolia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WIA_title;Вернуть провинции Wiang Chhan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WIA_desc;Мы владеем провинциями, на которые  Wiang Chhan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PHL_title;Вернуть провинции Philippines;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PHL_desc;Мы владеем провинциями, на которые  Philippines имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MCK_title;Вернуть провинции Manchukuo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MCK_desc;Мы владеем провинциями, на которые  Manchukuo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GXI_title;Вернуть провинции Guangxi Clique;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GXI_desc;Мы владеем провинциями, на которые  Guangxi Clique имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SXI_title;Вернуть провинции Shanxi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SXI_desc;Мы владеем провинциями, на которые  Shanxi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_YNN_title;Вернуть провинции Yunnan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_YNN_desc;Мы владеем провинциями, на которые  Yunnan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_XBI_title;Вернуть провинции Xibei San Ma;;;;;;;;;;;;;;;;;;;;x,,
return_cores_XBI_desc;Мы владеем провинциями, на которые  Xibei San Ma имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_XIN_title;Вернуть провинции Xinjiang;;;;;;;;;;;;;;;;;;;;x,,
return_cores_XIN_desc;Мы владеем провинциями, на которые  Xinjiang имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CAL_title;Вернуть провинции Californian Republic;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CAL_desc;Мы владеем провинциями, на которые  Californian Republic имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CAN_title;Вернуть провинции Canada;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CAN_desc;Мы владеем провинциями, на которые  Canada имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CHE_title;Вернуть провинции Cherokee;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CHE_desc;Мы владеем провинциями, на которые  Cherokee имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_COL_title;Вернуть провинции Columbia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_COL_desc;Мы владеем провинциями, на которые  Columbia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_COS_title;Вернуть провинции Costa Rica;;;;;;;;;;;;;;;;;;;;x,,
return_cores_COS_desc;Мы владеем провинциями, на которые  Costa Rica имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CSA_title;Вернуть провинции CSA;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CSA_desc;Мы владеем провинциями, на которые  CSA имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CUB_title;Вернуть провинции Cuba;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CUB_desc;Мы владеем провинциями, на которые  Cuba имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DES_title;Вернуть провинции Deseret;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DES_desc;Мы владеем провинциями, на которые  Deseret имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DOM_title;Вернуть провинции Dominican Republic;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DOM_desc;Мы владеем провинциями, на которые  Dominican Republic имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ELS_title;Вернуть провинции El Salvador;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ELS_desc;Мы владеем провинциями, на которые  El Salvador имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GUA_title;Вернуть провинции Guatemala;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GUA_desc;Мы владеем провинциями, на которые  Guatemala имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HAI_title;Вернуть провинции Haiti;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HAI_desc;Мы владеем провинциями, на которые  Haiti имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HAW_title;Вернуть провинции Hawaii;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HAW_desc;Мы владеем провинциями, на которые  Hawaii имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MEX_title;Вернуть провинции Mexico;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MEX_desc;Мы владеем провинциями, на которые  Mexico имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MTC_title;Вернуть провинции Metis Confederacy;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MTC_desc;Мы владеем провинциями, на которые  Metis Confederacy имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HON_title;Вернуть провинции Honduras;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HON_desc;Мы владеем провинциями, на которые  Honduras имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NEN_title;Вернуть провинции New England;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NEN_desc;Мы владеем провинциями, на которые  New England имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NEW_title;Вернуть провинции Newfoundland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NEW_desc;Мы владеем провинциями, на которые  Newfoundland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NIC_title;Вернуть провинции Nicaragua;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NIC_desc;Мы владеем провинциями, на которые  Nicaragua имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PNM_title;Вернуть провинции Panama;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PNM_desc;Мы владеем провинциями, на которые  Panama имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_QUE_title;Вернуть провинции Quebec;;;;;;;;;;;;;;;;;;;;x,,
return_cores_QUE_desc;Мы владеем провинциями, на которые  Quebec имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TEX_title;Вернуть провинции Texas;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TEX_desc;Мы владеем провинциями, на которые  Texas имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UCA_title;Вернуть провинции United States of Central America;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UCA_desc;Мы владеем провинциями, на которые  United States of Central America имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ARG_title;Вернуть провинции Argentina;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARG_desc;Мы владеем провинциями, на которые  Argentina имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BOL_title;Вернуть провинции Bolivia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BOL_desc;Мы владеем провинциями, на которые  Bolivia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BRZ_title;Вернуть провинции Brazil;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRZ_desc;Мы владеем провинциями, на которые  Brazil имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CHL_title;Вернуть провинции Chile;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CHL_desc;Мы владеем провинциями, на которые  Chile имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CLM_title;Вернуть провинции Colombia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CLM_desc;Мы владеем провинциями, на которые  Colombia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ECU_title;Вернуть провинции Ecuador;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ECU_desc;Мы владеем провинциями, на которые  Ecuador имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PEU_title;Вернуть провинции Peru;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PEU_desc;Мы владеем провинциями, на которые  Peru имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PRG_title;Вернуть провинции Paraguay;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PRG_desc;Мы владеем провинциями, на которые  Paraguay имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_URU_title;Вернуть провинции Uruguay;;;;;;;;;;;;;;;;;;;;x,,
return_cores_URU_desc;Мы владеем провинциями, на которые  Uruguay имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_VNZ_title;Вернуть провинции Venezuela;;;;;;;;;;;;;;;;;;;;x,,
return_cores_VNZ_desc;Мы владеем провинциями, на которые  Venezuela имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AST_title;Вернуть провинции Australia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AST_desc;Мы владеем провинциями, на которые  Australia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NZL_title;Вернуть провинции New Zealand;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NZL_desc;Мы владеем провинциями, на которые  New Zealand имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ENG_title;Вернуть провинции United Kingdom;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ENG_desc;Мы владеем провинциями, на которые  United Kingdom имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RUS_title;Вернуть провинции Russia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RUS_desc;Мы владеем провинциями, на которые  Russia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_FRA_title;Вернуть провинции France;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FRA_desc;Мы владеем провинциями, на которые  France имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PRU_title;Вернуть провинции Prussia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PRU_desc;Мы владеем провинциями, на которые  Prussia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GER_title;Вернуть провинции Germany;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GER_desc;Мы владеем провинциями, на которые  Germany имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AUS_title;Вернуть провинции Austria;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUS_desc;Мы владеем провинциями, на которые  Austria имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_USA_title;Вернуть провинции USA;;;;;;;;;;;;;;;;;;;;x,,
return_cores_USA_desc;Мы владеем провинциями, на которые  USA имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_JAP_title;Вернуть провинции Japan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_JAP_desc;Мы владеем провинциями, на которые  Japan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ITA_title;Вернуть провинции Italy;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ITA_desc;Мы владеем провинциями, на которые  Italy имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KUK_title;Вернуть провинции Austria-Hungary;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KUK_desc;Мы владеем провинциями, на которые  Austria-Hungary имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ISR_title;Вернуть провинции Israel;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ISR_desc;Мы владеем провинциями, на которые  Israel имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ICL_title;Вернуть провинции Iceland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ICL_desc;Мы владеем провинциями, на которые  Iceland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_IBR_title;Вернуть провинции Iberia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_IBR_desc;Мы владеем провинциями, на которые  Iberia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BYZ_title;Вернуть провинции Byzantium;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BYZ_desc;Мы владеем провинциями, на которые  Byzantium имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BAB_title;Вернуть провинции Babylonia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAB_desc;Мы владеем провинциями, на которые  Babylonia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TPG_title;Вернуть провинции Taiping;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TPG_desc;Мы владеем провинциями, на которые  Taiping имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D01_title;Вернуть провинции D01;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D01_desc;Мы владеем провинциями, на которые  D01 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D02_title;Вернуть провинции D02;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D02_desc;Мы владеем провинциями, на которые  D02 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D03_title;Вернуть провинции D03;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D03_desc;Мы владеем провинциями, на которые  D03 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D04_title;Вернуть провинции D04;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D04_desc;Мы владеем провинциями, на которые  D04 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D05_title;Вернуть провинции D05;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D05_desc;Мы владеем провинциями, на которые  D05 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D06_title;Вернуть провинции D06;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D06_desc;Мы владеем провинциями, на которые  D06 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D07_title;Вернуть провинции D07;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D07_desc;Мы владеем провинциями, на которые  D07 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D08_title;Вернуть провинции D08;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D08_desc;Мы владеем провинциями, на которые  D08 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D09_title;Вернуть провинции D09;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D09_desc;Мы владеем провинциями, на которые  D09 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D10_title;Вернуть провинции D10;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D10_desc;Мы владеем провинциями, на которые  D10 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D11_title;Вернуть провинции D11;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D11_desc;Мы владеем провинциями, на которые  D11 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D12_title;Вернуть провинции D12;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D12_desc;Мы владеем провинциями, на которые  D12 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D13_title;Вернуть провинции D13;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D13_desc;Мы владеем провинциями, на которые  D13 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D14_title;Вернуть провинции D14;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D14_desc;Мы владеем провинциями, на которые  D14 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D15_title;Вернуть провинции D15;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D15_desc;Мы владеем провинциями, на которые  D15 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D16_title;Вернуть провинции D16;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D16_desc;Мы владеем провинциями, на которые  D16 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D17_title;Вернуть провинции D17;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D17_desc;Мы владеем провинциями, на которые  D17 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D18_title;Вернуть провинции D18;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D18_desc;Мы владеем провинциями, на которые  D18 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D19_title;Вернуть провинции D19;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D19_desc;Мы владеем провинциями, на которые  D19 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D20_title;Вернуть провинции D20;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D20_desc;Мы владеем провинциями, на которые  D20 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D21_title;Вернуть провинции D21;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D21_desc;Мы владеем провинциями, на которые  D21 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D22_title;Вернуть провинции D22;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D22_desc;Мы владеем провинциями, на которые  D22 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D23_title;Вернуть провинции D23;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D23_desc;Мы владеем провинциями, на которые  D23 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D24_title;Вернуть провинции D24;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D24_desc;Мы владеем провинциями, на которые  D24 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D25_title;Вернуть провинции D25;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D25_desc;Мы владеем провинциями, на которые  D25 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D26_title;Вернуть провинции D26;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D26_desc;Мы владеем провинциями, на которые  D26 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D27_title;Вернуть провинции D27;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D27_desc;Мы владеем провинциями, на которые  D27 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D28_title;Вернуть провинции D28;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D28_desc;Мы владеем провинциями, на которые  D28 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D29_title;Вернуть провинции D29;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D29_desc;Мы владеем провинциями, на которые  D29 имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_D30_title;Вернуть провинции D30;;;;;;;;;;;;;;;;;;;;x,,
